enhancerID	genes
chr12_125258563_125258582_enh-1016734_2	"NCOR2 (-278775), SCARB1 (+89820)"
chr12_125258575_125258594_enh-1016734_1	"NCOR2 (-278787), SCARB1 (+89808)"
chr12_125258580_125258599_enh-1016734_7	"NCOR2 (-278792), SCARB1 (+89803)"
chr12_125258584_125258603_enh-1016734_3	"NCOR2 (-278796), SCARB1 (+89799)"
chr12_125258637_125258656_enh-1016734_8	"NCOR2 (-278849), SCARB1 (+89746)"
chr12_125258638_125258657_enh-1016734_6	"NCOR2 (-278850), SCARB1 (+89745)"
chr12_125258639_125258658_enh-1016734_4	"NCOR2 (-278851), SCARB1 (+89744)"
chr12_125258644_125258663_enh-1016734_5	"NCOR2 (-278856), SCARB1 (+89739)"
chr12_125258890_125258909_enh-1016734_4	"NCOR2 (-279102), SCARB1 (+89493)"
chr12_125258933_125258952_enh-1016734_1	"NCOR2 (-279145), SCARB1 (+89450)"
chr12_125258947_125258966_enh-1016734_3	"NCOR2 (-279159), SCARB1 (+89436)"
chr12_125258954_125258973_enh-1016734_2	"NCOR2 (-279166), SCARB1 (+89429)"
chr12_125258968_125258987_enh-1016734_5	"NCOR2 (-279180), SCARB1 (+89415)"
chr12_125259265_125259284_enh-1016734_1	"NCOR2 (-279477), SCARB1 (+89118)"
chr12_125259267_125259286_enh-1016734_6	"NCOR2 (-279479), SCARB1 (+89116)"
chr12_125259296_125259315_enh-1016734_5	"NCOR2 (-279508), SCARB1 (+89087)"
chr12_125259354_125259373_enh-1016734_2	"NCOR2 (-279566), SCARB1 (+89029)"
chr12_125259355_125259374_enh-1016734_3	"NCOR2 (-279567), SCARB1 (+89028)"
chr12_125259356_125259375_enh-1016734_4	"NCOR2 (-279568), SCARB1 (+89027)"
chr12_125259828_125259847_enh-1016734_2	"NCOR2 (-280040), SCARB1 (+88555)"
chr12_125259836_125259855_enh-1016734_1	"NCOR2 (-280048), SCARB1 (+88547)"
chr12_125260026_125260045_enh-1016734_3	"NCOR2 (-280238), SCARB1 (+88357)"
chr12_125260051_125260070_enh-1016734_2	"NCOR2 (-280263), SCARB1 (+88332)"
chr12_125260054_125260073_enh-1016734_1	"NCOR2 (-280266), SCARB1 (+88329)"
chr12_125262387_125262406_enh-1016734_5	"NCOR2 (-282599), SCARB1 (+85996)"
chr12_125262390_125262409_enh-1016734_6	"NCOR2 (-282602), SCARB1 (+85993)"
chr12_125262391_125262410_enh-1016734_14	"NCOR2 (-282603), SCARB1 (+85992)"
chr12_125262404_125262423_enh-1016734_11	"NCOR2 (-282616), SCARB1 (+85979)"
chr12_125262459_125262478_enh-1016734_9	"NCOR2 (-282671), SCARB1 (+85924)"
chr12_125262479_125262498_enh-1016734_1	"NCOR2 (-282691), SCARB1 (+85904)"
chr12_125262488_125262507_enh-1016734_2	"NCOR2 (-282700), SCARB1 (+85895)"
chr12_125262492_125262511_enh-1016734_3	"NCOR2 (-282704), SCARB1 (+85891)"
chr12_125262493_125262512_enh-1016734_7	"NCOR2 (-282705), SCARB1 (+85890)"
chr12_125262494_125262513_enh-1016734_4	"NCOR2 (-282706), SCARB1 (+85889)"
chr12_125262497_125262516_enh-1016734_8	"NCOR2 (-282709), SCARB1 (+85886)"
chr12_125262498_125262517_enh-1016734_10	"NCOR2 (-282710), SCARB1 (+85885)"
chr12_125262501_125262520_enh-1016734_13	"NCOR2 (-282713), SCARB1 (+85882)"
chr12_125262511_125262530_enh-1016734_15	"NCOR2 (-282723), SCARB1 (+85872)"
chr12_125262525_125262544_enh-1016734_12	"NCOR2 (-282737), SCARB1 (+85858)"
chr12_125262764_125262783_enh-1016734_3	"NCOR2 (-282976), SCARB1 (+85619)"
chr12_125262765_125262784_enh-1016734_2	"NCOR2 (-282977), SCARB1 (+85618)"
chr12_125262766_125262785_enh-1016734_1	"NCOR2 (-282978), SCARB1 (+85617)"
chr12_125262769_125262788_enh-1016734_5	"NCOR2 (-282981), SCARB1 (+85614)"
chr12_125262785_125262804_enh-1016734_6	"NCOR2 (-282997), SCARB1 (+85598)"
chr12_125262864_125262883_enh-1016734_4	"NCOR2 (-283076), SCARB1 (+85519)"
chr12_125399832_125399851_enh-1016744_5	UBC (+52)
chr12_125399834_125399853_enh-1016744_11	UBC (+50)
chr12_125399845_125399864_enh-1016744_2	UBC (+39)
chr12_125399846_125399865_enh-1016744_7	UBC (+38)
chr12_125399849_125399868_enh-1016744_12	UBC (+35)
chr12_125399850_125399869_enh-1016744_9	UBC (+34)
chr12_125399855_125399874_enh-1016744_13	UBC (+29)
chr12_125399867_125399886_enh-1016744_3	UBC (+17)
chr12_125399879_125399898_enh-1016744_1	UBC (+5)
chr12_125399890_125399909_enh-1016744_4	UBC (-6)
chr12_125399891_125399910_enh-1016744_6	UBC (-7)
chr12_125399892_125399911_enh-1016744_8	UBC (-8)
chr12_125399931_125399950_enh-1016744_10	UBC (-47)
chr12_125401282_125401301_enh-1016744_2	UBC (-1398)
chr12_125401368_125401387_enh-1016744_3	UBC (-1484)
chr12_125401371_125401390_enh-1016744_1	UBC (-1487)
chr12_125411763_125411782_enh-1016744_2	"UBC (-11879), DHX37 (+61894)"
chr12_125411767_125411786_enh-1016744_1	"UBC (-11883), DHX37 (+61890)"
chr12_125411800_125411819_enh-1016744_10	"UBC (-11916), DHX37 (+61857)"
chr12_125411808_125411827_enh-1016744_3	"UBC (-11924), DHX37 (+61849)"
chr12_125411808_125411827_enh-1016744_9	"UBC (-11924), DHX37 (+61849)"
chr12_125411809_125411828_enh-1016744_4	"UBC (-11925), DHX37 (+61848)"
chr12_125411815_125411834_enh-1016744_7	"UBC (-11931), DHX37 (+61842)"
chr12_125411816_125411835_enh-1016744_6	"UBC (-11932), DHX37 (+61841)"
chr12_125411823_125411842_enh-1016744_8	"UBC (-11939), DHX37 (+61834)"
chr12_125411824_125411843_enh-1016744_5	"UBC (-11940), DHX37 (+61833)"
chr12_125412053_125412072_enh-1016744_3	"UBC (-12169), DHX37 (+61604)"
chr12_125412054_125412073_enh-1016744_4	"UBC (-12170), DHX37 (+61603)"
chr12_125412086_125412105_enh-1016744_2	"UBC (-12202), DHX37 (+61571)"
chr12_125412106_125412125_enh-1016744_1	"UBC (-12222), DHX37 (+61551)"
chr12_125412348_125412367_enh-1016744_9	"UBC (-12464), DHX37 (+61309)"
chr12_125412349_125412368_enh-1016744_10	"UBC (-12465), DHX37 (+61308)"
chr12_125412350_125412369_enh-1016744_11	"UBC (-12466), DHX37 (+61307)"
chr12_125412352_125412371_enh-1016744_6	"UBC (-12468), DHX37 (+61305)"
chr12_125412354_125412373_enh-1016744_8	"UBC (-12470), DHX37 (+61303)"
chr12_125412355_125412374_enh-1016744_7	"UBC (-12471), DHX37 (+61302)"
chr12_125412379_125412398_enh-1016744_12	"UBC (-12495), DHX37 (+61278)"
chr12_125412464_125412483_enh-1016744_5	"UBC (-12580), DHX37 (+61193)"
chr12_125412475_125412494_enh-1016744_4	"UBC (-12591), DHX37 (+61182)"
chr12_125412492_125412511_enh-1016744_1	"UBC (-12608), DHX37 (+61165)"
chr12_125412493_125412512_enh-1016744_2	"UBC (-12609), DHX37 (+61164)"
chr12_125412493_125412512_enh-1016744_3	"UBC (-12609), DHX37 (+61164)"
chr12_125413309_125413328_enh-1016744_5	"UBC (-13425), DHX37 (+60348)"
chr12_125413310_125413329_enh-1016744_3	"UBC (-13426), DHX37 (+60347)"
chr12_125413313_125413332_enh-1016744_4	"UBC (-13429), DHX37 (+60344)"
chr12_125413314_125413333_enh-1016744_1	"UBC (-13430), DHX37 (+60343)"
chr12_125413318_125413337_enh-1016744_2	"UBC (-13434), DHX37 (+60339)"
chr12_125413426_125413445_enh-1016744_6	"UBC (-13542), DHX37 (+60231)"
chr12_125414085_125414104_enh-1016744_7	"UBC (-14201), DHX37 (+59572)"
chr12_125414086_125414105_enh-1016744_6	"UBC (-14202), DHX37 (+59571)"
chr12_125414097_125414116_enh-1016744_4	"UBC (-14213), DHX37 (+59560)"
chr12_125414126_125414145_enh-1016744_2	"UBC (-14242), DHX37 (+59531)"
chr12_125414135_125414154_enh-1016744_1	"UBC (-14251), DHX37 (+59522)"
chr12_125414155_125414174_enh-1016744_5	"UBC (-14271), DHX37 (+59502)"
chr12_125414162_125414181_enh-1016744_3	"UBC (-14278), DHX37 (+59495)"
chr12_25538027_25538046_enh-1014106_5	"KRAS (-134300), IFLTD1 (+168180)"
chr12_25538050_25538069_enh-1014106_11	"KRAS (-134323), IFLTD1 (+168157)"
chr12_25538080_25538099_enh-1014106_14	"KRAS (-134353), IFLTD1 (+168127)"
chr12_25538104_25538123_enh-1014106_12	"KRAS (-134377), IFLTD1 (+168103)"
chr12_25538106_25538125_enh-1014106_9	"KRAS (-134379), IFLTD1 (+168101)"
chr12_25538109_25538128_enh-1014106_10	"KRAS (-134382), IFLTD1 (+168098)"
chr12_25538122_25538141_enh-1014106_7	"KRAS (-134395), IFLTD1 (+168085)"
chr12_25538133_25538152_enh-1014106_1	"KRAS (-134406), IFLTD1 (+168074)"
chr12_25538157_25538176_enh-1014106_2	"KRAS (-134430), IFLTD1 (+168050)"
chr12_25538159_25538178_enh-1014106_3	"KRAS (-134432), IFLTD1 (+168048)"
chr12_25538163_25538182_enh-1014106_6	"KRAS (-134436), IFLTD1 (+168044)"
chr12_25538175_25538194_enh-1014106_4	"KRAS (-134448), IFLTD1 (+168032)"
chr12_25538182_25538201_enh-1014106_8	"KRAS (-134455), IFLTD1 (+168025)"
chr12_25538183_25538202_enh-1014106_13	"KRAS (-134456), IFLTD1 (+168024)"
chr12_25538698_25538717_enh-1014106_13	"KRAS (-134971), IFLTD1 (+167509)"
chr12_25538700_25538719_enh-1014106_4	"KRAS (-134973), IFLTD1 (+167507)"
chr12_25538727_25538746_enh-1014106_18	"KRAS (-135000), IFLTD1 (+167480)"
chr12_25538732_25538751_enh-1014106_15	"KRAS (-135005), IFLTD1 (+167475)"
chr12_25538732_25538751_enh-1014106_17	"KRAS (-135005), IFLTD1 (+167475)"
chr12_25538733_25538752_enh-1014106_10	"KRAS (-135006), IFLTD1 (+167474)"
chr12_25538734_25538753_enh-1014106_12	"KRAS (-135007), IFLTD1 (+167473)"
chr12_25538735_25538754_enh-1014106_11	"KRAS (-135008), IFLTD1 (+167472)"
chr12_25538742_25538761_enh-1014106_8	"KRAS (-135015), IFLTD1 (+167465)"
chr12_25538784_25538803_enh-1014106_14	"KRAS (-135057), IFLTD1 (+167423)"
chr12_25538810_25538829_enh-1014106_5	"KRAS (-135083), IFLTD1 (+167397)"
chr12_25538814_25538833_enh-1014106_1	"KRAS (-135087), IFLTD1 (+167393)"
chr12_25538815_25538834_enh-1014106_2	"KRAS (-135088), IFLTD1 (+167392)"
chr12_25538816_25538835_enh-1014106_3	"KRAS (-135089), IFLTD1 (+167391)"
chr12_25538833_25538852_enh-1014106_9	"KRAS (-135106), IFLTD1 (+167374)"
chr12_25538834_25538853_enh-1014106_6	"KRAS (-135107), IFLTD1 (+167373)"
chr12_25538835_25538854_enh-1014106_7	"KRAS (-135108), IFLTD1 (+167372)"
chr12_25538840_25538859_enh-1014106_16	"KRAS (-135113), IFLTD1 (+167367)"
chr12_25538880_25538899_enh-1014106_13	"KRAS (-135153), IFLTD1 (+167327)"
chr12_25539755_25539774_enh-1014106_3	"KRAS (-136028), IFLTD1 (+166452)"
chr12_25539756_25539775_enh-1014106_15	"KRAS (-136029), IFLTD1 (+166451)"
chr12_25539780_25539799_enh-1014106_5	"KRAS (-136053), IFLTD1 (+166427)"
chr12_25539781_25539800_enh-1014106_4	"KRAS (-136054), IFLTD1 (+166426)"
chr12_25539783_25539802_enh-1014106_6	"KRAS (-136056), IFLTD1 (+166424)"
chr12_25539785_25539804_enh-1014106_10	"KRAS (-136058), IFLTD1 (+166422)"
chr12_25539786_25539805_enh-1014106_7	"KRAS (-136059), IFLTD1 (+166421)"
chr12_25539787_25539806_enh-1014106_2	"KRAS (-136060), IFLTD1 (+166420)"
chr12_25539788_25539807_enh-1014106_12	"KRAS (-136061), IFLTD1 (+166419)"
chr12_25539806_25539825_enh-1014106_11	"KRAS (-136079), IFLTD1 (+166401)"
chr12_25539840_25539859_enh-1014106_13	"KRAS (-136113), IFLTD1 (+166367)"
chr12_25539842_25539861_enh-1014106_9	"KRAS (-136115), IFLTD1 (+166365)"
chr12_25539849_25539868_enh-1014106_14	"KRAS (-136122), IFLTD1 (+166358)"
chr12_25539852_25539871_enh-1014106_8	"KRAS (-136125), IFLTD1 (+166355)"
chr12_25539853_25539872_enh-1014106_1	"KRAS (-136126), IFLTD1 (+166354)"
chr12_25540107_25540126_enh-1014106_6	"KRAS (-136380), IFLTD1 (+166100)"
chr12_25540114_25540133_enh-1014106_7	"KRAS (-136387), IFLTD1 (+166093)"
chr12_25540233_25540252_enh-1014106_5	"KRAS (-136506), IFLTD1 (+165974)"
chr12_25540234_25540253_enh-1014106_2	"KRAS (-136507), IFLTD1 (+165973)"
chr12_25540235_25540254_enh-1014106_3	"KRAS (-136508), IFLTD1 (+165972)"
chr12_25540237_25540256_enh-1014106_1	"KRAS (-136510), IFLTD1 (+165970)"
chr12_25540241_25540260_enh-1014106_4	"KRAS (-136514), IFLTD1 (+165966)"
chr12_52586433_52586452_enh-1014725_5	KRT80 (-659)
chr12_52586435_52586454_enh-1014725_3	KRT80 (-661)
chr12_52586464_52586483_enh-1014725_6	KRT80 (-690)
chr12_52586530_52586549_enh-1014725_1	KRT80 (-756)
chr12_52586550_52586569_enh-1014725_8	KRT80 (-776)
chr12_52586590_52586609_enh-1014725_4	KRT80 (-816)
chr12_52586593_52586612_enh-1014725_2	KRT80 (-819)
chr12_52586594_52586613_enh-1014725_7	KRT80 (-820)
chr12_52594728_52594747_enh-1014725_2	"KRT7 (-32160), KRT80 (-8954)"
chr12_52594733_52594752_enh-1014725_4	"KRT7 (-32155), KRT80 (-8959)"
chr12_52594744_52594763_enh-1014725_3	"KRT7 (-32144), KRT80 (-8970)"
chr12_52594850_52594869_enh-1014725_5	"KRT7 (-32038), KRT80 (-9076)"
chr12_52594853_52594872_enh-1014725_1	"KRT7 (-32035), KRT80 (-9079)"
chr12_52596745_52596764_enh-1014725_3	"KRT7 (-30143), KRT80 (-10971)"
chr12_52596746_52596765_enh-1014725_2	"KRT7 (-30142), KRT80 (-10972)"
chr12_52596747_52596766_enh-1014725_1	"KRT7 (-30141), KRT80 (-10973)"
chr12_52596908_52596927_enh-1014725_1	"KRT7 (-29980), KRT80 (-11134)"
chr12_52597000_52597019_enh-1014725_1	"KRT7 (-29888), KRT80 (-11226)"
chr12_52597000_52597019_enh-1014725_3	"KRT7 (-29888), KRT80 (-11226)"
chr12_52597001_52597020_enh-1014725_2	"KRT7 (-29887), KRT80 (-11227)"
chr12_52597029_52597048_enh-1014725_4	"KRT7 (-29859), KRT80 (-11255)"
chr12_52600178_52600197_enh-1014725_6	"KRT7 (-26710), KRT80 (-14404)"
chr12_52600199_52600218_enh-1014725_2	"KRT7 (-26689), KRT80 (-14425)"
chr12_52600203_52600222_enh-1014725_1	"KRT7 (-26685), KRT80 (-14429)"
chr12_52600242_52600261_enh-1014725_3	"KRT7 (-26646), KRT80 (-14468)"
chr12_52600270_52600289_enh-1014725_5	"KRT7 (-26618), KRT80 (-14496)"
chr12_52600297_52600316_enh-1014725_4	"KRT7 (-26591), KRT80 (-14523)"
chr12_52601263_52601282_enh-1014725_9	"KRT7 (-25625), KRT80 (-15489)"
chr12_52601266_52601285_enh-1014725_7	"KRT7 (-25622), KRT80 (-15492)"
chr12_52601277_52601296_enh-1014725_12	"KRT7 (-25611), KRT80 (-15503)"
chr12_52601313_52601332_enh-1014725_11	"KRT7 (-25575), KRT80 (-15539)"
chr12_52601324_52601343_enh-1014725_13	"KRT7 (-25564), KRT80 (-15550)"
chr12_52601325_52601344_enh-1014725_6	"KRT7 (-25563), KRT80 (-15551)"
chr12_52601353_52601372_enh-1014725_8	"KRT7 (-25535), KRT80 (-15579)"
chr12_52601364_52601383_enh-1014725_10	"KRT7 (-25524), KRT80 (-15590)"
chr12_52601368_52601387_enh-1014725_2	"KRT7 (-25520), KRT80 (-15594)"
chr12_52601369_52601388_enh-1014725_4	"KRT7 (-25519), KRT80 (-15595)"
chr12_52601370_52601389_enh-1014725_3	"KRT7 (-25518), KRT80 (-15596)"
chr12_52601379_52601398_enh-1014725_5	"KRT7 (-25509), KRT80 (-15605)"
chr12_52601381_52601400_enh-1014725_1	"KRT7 (-25507), KRT80 (-15607)"
chr12_52601581_52601600_enh-1014725_5	"KRT7 (-25307), KRT80 (-15807)"
chr12_52601594_52601613_enh-1014725_4	"KRT7 (-25294), KRT80 (-15820)"
chr12_52601636_52601655_enh-1014725_3	"KRT7 (-25252), KRT80 (-15862)"
chr12_52601693_52601712_enh-1014725_2	"KRT7 (-25195), KRT80 (-15919)"
chr12_52601694_52601713_enh-1014725_6	"KRT7 (-25194), KRT80 (-15920)"
chr12_52601747_52601766_enh-1014725_1	"KRT7 (-25141), KRT80 (-15973)"
chr12_52603138_52603157_enh-1014725_8	"KRT7 (-23750), KRT80 (-17364)"
chr12_52603153_52603172_enh-1014725_7	"KRT7 (-23735), KRT80 (-17379)"
chr12_52603158_52603177_enh-1014725_2	"KRT7 (-23730), KRT80 (-17384)"
chr12_52603197_52603216_enh-1014725_9	"KRT7 (-23691), KRT80 (-17423)"
chr12_52603211_52603230_enh-1014725_1	"KRT7 (-23677), KRT80 (-17437)"
chr12_52603225_52603244_enh-1014725_4	"KRT7 (-23663), KRT80 (-17451)"
chr12_52603231_52603250_enh-1014725_5	"KRT7 (-23657), KRT80 (-17457)"
chr12_52603233_52603252_enh-1014725_3	"KRT7 (-23655), KRT80 (-17459)"
chr12_52603234_52603253_enh-1014725_6	"KRT7 (-23654), KRT80 (-17460)"
chr12_52783990_52784009_enh-1014740_7	KRT84 (-4564)
chr12_52783991_52784010_enh-1014740_16	KRT84 (-4565)
chr12_52783992_52784011_enh-1014740_13	KRT84 (-4566)
chr12_52783997_52784016_enh-1014740_11	KRT84 (-4571)
chr12_52783998_52784017_enh-1014740_17	KRT84 (-4572)
chr12_52784001_52784020_enh-1014740_20	KRT84 (-4575)
chr12_52784055_52784074_enh-1014740_15	KRT84 (-4629)
chr12_52784076_52784095_enh-1014740_14	KRT84 (-4650)
chr12_52784083_52784102_enh-1014740_9	KRT84 (-4657)
chr12_52784084_52784103_enh-1014740_4	KRT84 (-4658)
chr12_52784085_52784104_enh-1014740_5	KRT84 (-4659)
chr12_52784094_52784113_enh-1014740_6	KRT84 (-4668)
chr12_52784106_52784125_enh-1014740_2	KRT84 (-4680)
chr12_52784109_52784128_enh-1014740_3	KRT84 (-4683)
chr12_52784110_52784129_enh-1014740_1	KRT84 (-4684)
chr12_52784111_52784130_enh-1014740_10	KRT84 (-4685)
chr12_52784129_52784148_enh-1014740_12	KRT84 (-4703)
chr12_52784130_52784149_enh-1014740_18	KRT84 (-4704)
chr12_52784151_52784170_enh-1014740_19	KRT84 (-4725)
chr12_52784152_52784171_enh-1014740_8	KRT84 (-4726)
chr12_52785182_52785201_enh-1014740_31	"KRT84 (-5756), KRT82 (+14947)"
chr12_52785190_52785209_enh-1014740_21	"KRT84 (-5764), KRT82 (+14939)"
chr12_52785191_52785210_enh-1014740_28	"KRT84 (-5765), KRT82 (+14938)"
chr12_52785194_52785213_enh-1014740_27	"KRT84 (-5768), KRT82 (+14935)"
chr12_52785197_52785216_enh-1014740_20	"KRT84 (-5771), KRT82 (+14932)"
chr12_52785202_52785221_enh-1014740_26	"KRT84 (-5776), KRT82 (+14927)"
chr12_52785204_52785223_enh-1014740_12	"KRT84 (-5778), KRT82 (+14925)"
chr12_52785205_52785224_enh-1014740_19	"KRT84 (-5779), KRT82 (+14924)"
chr12_52785220_52785239_enh-1014740_35	"KRT84 (-5794), KRT82 (+14909)"
chr12_52785225_52785244_enh-1014740_1	"KRT84 (-5799), KRT82 (+14904)"
chr12_52785226_52785245_enh-1014740_15	"KRT84 (-5800), KRT82 (+14903)"
chr12_52785227_52785246_enh-1014740_13	"KRT84 (-5801), KRT82 (+14902)"
chr12_52785227_52785246_enh-1014740_5	"KRT84 (-5801), KRT82 (+14902)"
chr12_52785228_52785247_enh-1014740_3	"KRT84 (-5802), KRT82 (+14901)"
chr12_52785229_52785248_enh-1014740_7	"KRT84 (-5803), KRT82 (+14900)"
chr12_52785230_52785249_enh-1014740_6	"KRT84 (-5804), KRT82 (+14899)"
chr12_52785231_52785250_enh-1014740_25	"KRT84 (-5805), KRT82 (+14898)"
chr12_52785232_52785251_enh-1014740_16	"KRT84 (-5806), KRT82 (+14897)"
chr12_52785236_52785255_enh-1014740_24	"KRT84 (-5810), KRT82 (+14893)"
chr12_52785241_52785260_enh-1014740_17	"KRT84 (-5815), KRT82 (+14888)"
chr12_52785282_52785301_enh-1014740_32	"KRT84 (-5856), KRT82 (+14847)"
chr12_52785285_52785304_enh-1014740_18	"KRT84 (-5859), KRT82 (+14844)"
chr12_52785286_52785305_enh-1014740_22	"KRT84 (-5860), KRT82 (+14843)"
chr12_52785292_52785311_enh-1014740_8	"KRT84 (-5866), KRT82 (+14837)"
chr12_52785293_52785312_enh-1014740_2	"KRT84 (-5867), KRT82 (+14836)"
chr12_52785297_52785316_enh-1014740_14	"KRT84 (-5871), KRT82 (+14832)"
chr12_52785298_52785317_enh-1014740_9	"KRT84 (-5872), KRT82 (+14831)"
chr12_52785299_52785318_enh-1014740_23	"KRT84 (-5873), KRT82 (+14830)"
chr12_52785309_52785328_enh-1014740_30	"KRT84 (-5883), KRT82 (+14820)"
chr12_52785321_52785340_enh-1014740_11	"KRT84 (-5895), KRT82 (+14808)"
chr12_52785323_52785342_enh-1014740_10	"KRT84 (-5897), KRT82 (+14806)"
chr12_52785324_52785343_enh-1014740_4	"KRT84 (-5898), KRT82 (+14805)"
chr12_52785325_52785344_enh-1014740_34	"KRT84 (-5899), KRT82 (+14804)"
chr12_52785341_52785360_enh-1014740_33	"KRT84 (-5915), KRT82 (+14788)"
chr12_52785351_52785370_enh-1014740_29	"KRT84 (-5925), KRT82 (+14778)"
chr12_57540073_57540092_enh-1014882_2	"NXPH4 (-70495), LRP1 (+17801)"
chr12_57540076_57540095_enh-1014882_1	"NXPH4 (-70492), LRP1 (+17804)"
chr12_57540077_57540096_enh-1014882_3	"NXPH4 (-70491), LRP1 (+17805)"
chr12_57540090_57540109_enh-1014882_4	"NXPH4 (-70478), LRP1 (+17818)"
chr12_57542672_57542691_enh-1014882_1	"NXPH4 (-67896), LRP1 (+20400)"
chr12_57542679_57542698_enh-1014882_2	"NXPH4 (-67889), LRP1 (+20407)"
chr12_57542795_57542814_enh-1014882_2	"NXPH4 (-67773), LRP1 (+20523)"
chr12_57542796_57542815_enh-1014882_3	"NXPH4 (-67772), LRP1 (+20524)"
chr12_57542799_57542818_enh-1014882_5	"NXPH4 (-67769), LRP1 (+20527)"
chr12_57542843_57542862_enh-1014882_1	"NXPH4 (-67725), LRP1 (+20571)"
chr12_57542844_57542863_enh-1014882_4	"NXPH4 (-67724), LRP1 (+20572)"
chr12_57543486_57543505_enh-1014882_6	"NXPH4 (-67082), LRP1 (+21214)"
chr12_57543502_57543521_enh-1014882_1	"NXPH4 (-67066), LRP1 (+21230)"
chr12_57543506_57543525_enh-1014882_5	"NXPH4 (-67062), LRP1 (+21234)"
chr12_57543585_57543604_enh-1014882_3	"NXPH4 (-66983), LRP1 (+21313)"
chr12_57543627_57543646_enh-1014882_4	"NXPH4 (-66941), LRP1 (+21355)"
chr12_57543631_57543650_enh-1014882_2	"NXPH4 (-66937), LRP1 (+21359)"
chr12_57545051_57545070_enh-1014882_1	"NXPH4 (-65517), LRP1 (+22779)"
chr12_57546084_57546103_enh-1014882_7	"NXPH4 (-64484), LRP1 (+23812)"
chr12_57546164_57546183_enh-1014882_5	"NXPH4 (-64404), LRP1 (+23892)"
chr12_57546165_57546184_enh-1014882_6	"NXPH4 (-64403), LRP1 (+23893)"
chr12_57546166_57546185_enh-1014882_3	"NXPH4 (-64402), LRP1 (+23894)"
chr12_57546167_57546186_enh-1014882_4	"NXPH4 (-64401), LRP1 (+23895)"
chr12_57546174_57546193_enh-1014882_1	"NXPH4 (-64394), LRP1 (+23902)"
chr12_57546178_57546197_enh-1014882_2	"NXPH4 (-64390), LRP1 (+23906)"
chr12_57546640_57546659_enh-1014882_3	"NXPH4 (-63928), LRP1 (+24368)"
chr12_57546644_57546663_enh-1014882_2	"NXPH4 (-63924), LRP1 (+24372)"
chr12_57546651_57546670_enh-1014882_1	"NXPH4 (-63917), LRP1 (+24379)"
chr12_57548656_57548675_enh-1014882_3	"NXPH4 (-61912), LRP1 (+26384)"
chr12_57548731_57548750_enh-1014882_4	"NXPH4 (-61837), LRP1 (+26459)"
chr12_57548738_57548757_enh-1014882_1	"NXPH4 (-61830), LRP1 (+26466)"
chr12_57548739_57548758_enh-1014882_2	"NXPH4 (-61829), LRP1 (+26467)"
chr12_57548742_57548761_enh-1014882_5	"NXPH4 (-61826), LRP1 (+26470)"
chr12_57548822_57548841_enh-1014882_2	"NXPH4 (-61746), LRP1 (+26550)"
chr12_57548831_57548850_enh-1014882_4	"NXPH4 (-61737), LRP1 (+26559)"
chr12_57551980_57551999_enh-1014882_13	"NXPH4 (-58588), LRP1 (+29708)"
chr12_57551985_57552004_enh-1014882_9	"NXPH4 (-58583), LRP1 (+29713)"
chr12_57552003_57552022_enh-1014882_12	"NXPH4 (-58565), LRP1 (+29731)"
chr12_57552009_57552028_enh-1014882_1	"NXPH4 (-58559), LRP1 (+29737)"
chr12_57552010_57552029_enh-1014882_3	"NXPH4 (-58558), LRP1 (+29738)"
chr12_57552017_57552036_enh-1014882_4	"NXPH4 (-58551), LRP1 (+29745)"
chr12_57552017_57552036_enh-1014882_5	"NXPH4 (-58551), LRP1 (+29745)"
chr12_57552053_57552072_enh-1014882_2	"NXPH4 (-58515), LRP1 (+29781)"
chr12_57552054_57552073_enh-1014882_6	"NXPH4 (-58514), LRP1 (+29782)"
chr12_57552060_57552079_enh-1014882_7	"NXPH4 (-58508), LRP1 (+29788)"
chr12_57552068_57552087_enh-1014882_10	"NXPH4 (-58500), LRP1 (+29796)"
chr12_57552069_57552088_enh-1014882_8	"NXPH4 (-58499), LRP1 (+29797)"
chr12_57552085_57552104_enh-1014882_11	"NXPH4 (-58483), LRP1 (+29813)"
chr12_57552744_57552763_enh-1014882_1	"NXPH4 (-57824), LRP1 (+30472)"
chr12_57552752_57552771_enh-1014882_2	"NXPH4 (-57816), LRP1 (+30480)"
chr12_57554036_57554055_enh-1014882_1	"NXPH4 (-56532), LRP1 (+31764)"
chr12_57555587_57555606_enh-1014882_1	"NXPH4 (-54981), LRP1 (+33315)"
chr12_57555610_57555629_enh-1014882_2	"NXPH4 (-54958), LRP1 (+33338)"
chr12_57555611_57555630_enh-1014882_4	"NXPH4 (-54957), LRP1 (+33339)"
chr12_57555665_57555684_enh-1014882_3	"NXPH4 (-54903), LRP1 (+33393)"
chr12_70446502_70446521_enh-1015277_2	"CNOT2 (-190265), MYRFL (+120196)"
chr12_70446503_70446522_enh-1015277_3	"CNOT2 (-190264), MYRFL (+120197)"
chr12_70446542_70446561_enh-1015277_9	"CNOT2 (-190225), MYRFL (+120236)"
chr12_70446551_70446570_enh-1015277_13	"CNOT2 (-190216), MYRFL (+120245)"
chr12_70446571_70446590_enh-1015277_11	"CNOT2 (-190196), MYRFL (+120265)"
chr12_70446572_70446591_enh-1015277_12	"CNOT2 (-190195), MYRFL (+120266)"
chr12_70446573_70446592_enh-1015277_6	"CNOT2 (-190194), MYRFL (+120267)"
chr12_70446582_70446601_enh-1015277_10	"CNOT2 (-190185), MYRFL (+120276)"
